0 20.966849000742844
50 -24.78785452588743
100 -25.335374398723644
150 -25.53519214292163
200 -25.648706508548276
250 -25.728112937326415
300 -25.791642133892253
350 -25.847626849259417
400 -25.90053830432008
450 -25.953070785158502
500 -26.007005481082746
550 -26.06360723157679
600 -26.123814451323486
650 -26.1883279258929
700 -26.25764879313808
750 -26.33209443234525
800 -26.411810875944248
850 -26.49679290141603
900 -26.586915457098883
950 -26.681973427076517
1000 -26.781722954163648
1050 -26.88591743883458
1100 -26.99433389199016
1150 -27.10678859227557
1200 -27.223143368352446
1250 -27.3433046892764
1300 -27.46721745287628
1350 -27.594854702574526
1400 -27.726204150790036
1450 -27.86125259626062
1500 -27.99996992161029
1550 -28.142294927104626
1600 -28.288125369259
1650 -28.437314001288815
1700 -28.58967123881697
1750 -28.744973658536136
1800 -28.902976349522742
1850 -29.063426537315486
1900 -29.226075992730227
1950 -29.390690367475145
2000 -29.557054482581254
2050 -29.724973463934532
2100 -29.89427029765713
2150 -30.064780792879205
2200 -30.236347090697027
2250 -30.408810801213612
2300 -30.582006682926988
2350 -30.755757605789928
2400 -30.929871414662344
2450 -31.104140192077608
2500 -31.278342200728417
2550 -31.452246395104076
2600 -31.625618884393674
2650 -31.798230279978114
2700 -31.969862654989782
2750 -32.14031496092829
2800 -32.309406131881296
2850 -32.47697561993605
2900 -32.64288159598429
2950 -32.806997413368705
3000 -32.969207125960104
3050 -33.129400887492345
3100 -33.287470971601344
3150 -33.443308980680456
3200 -33.59680458712421
3250 -33.74784589907148
3300 -33.89632129454026
3350 -34.04212235946445
3400 -34.18514743207946
3450 -34.325305219719326
3500 -34.462518012321254
3550 -34.596724144967666
3600 -34.727879521915426
3650 -34.85595816930297
3700 -34.98095190604751
3750 -35.10286929983481
3800 -35.22173410810401
3850 -35.33758340155377
3900 -35.45046554233818
3950 -35.56043815263594
4000 -35.667566170809636
4050 -35.77192005772211
4100 -35.87357418776469
4150 -35.972605438420715
4200 -36.06909197806992
4250 -36.16311224295003
4300 -36.25474408932028
4350 -36.34406410465332
4400 -36.43114706112595
4450 -36.5160654950906
4500 -36.598889397147985
4550 -36.67968599865975
4600 -36.75851964191135
4650 -36.83545172259283
4700 -36.910540694762645
4750 -36.983842129946794
4800 -37.055408823446115
4850 -37.125290942221085
4900 -37.19353620984738
4950 -37.26019012495775
5000 -37.325296210295036
5050 -37.388896290005995
5100 -37.451030793124055
5150 -37.51173908133558
5200 -37.57105979910344
5250 -37.62903124400969
5300 -37.685691754717524
5350 -37.74108011313298
5400 -37.79523595600346
5450 -37.84820018908795
5500 -37.90001539386921
5550 -37.95072621218818
5600 -38.00037968778615
5650 -38.049025535240006
5700 -38.096716296120896
5750 -38.143507329893225
5800 -38.18945657454977
5850 -38.23462400215783
5900 -38.27907069215574
5950 -38.32285745708324
6000 -38.36604298917004
6050 -38.408681558254344
6100 -38.45082038295612
6150 -38.49249690876282
6200 -38.5337363357084
6250 -38.574549808831634
6300 -38.614933676713164
6350 -38.65487010955495
6400 -38.694329151736135
6450 -38.73327200888868
6500 -38.771655113621655
6550 -38.80943435927952
6600 -38.84656888815047
6650 -38.88302396432661
6700 -38.91877269509453
6750 -38.95379660869236
6800 -38.98808528379982
6850 -39.021635325435355
6900 -39.05444899690956
6950 -39.08653277372484
7000 -39.117896013312794
7050 -39.14854985841731
7100 -39.178506425881295
7150 -39.20777828214668
7200 -39.23637817231817
7250 -39.264318949310834
7300 -39.29161364099498
7350 -39.318275593986684
7400 -39.34431864044524
7450 -39.369757246477036
7500 -39.39460661501122
7550 -39.41888273000531
7600 -39.44260234075003
7650 -39.4657828937687
7700 -39.48844242500328
7750 -39.510599426934235
7800 -39.532272704694904
7850 -39.55348123298035
7900 -39.574244022452056
7950 -39.594580001081994
8000 -39.61450791293416
8050 -39.634046234516376
8100 -39.65321310715059
8150 -39.672026282786895
8200 -39.690503080234315
8250 -39.708660348775155
8300 -39.7265144364403
8350 -39.74408116073431
8400 -39.76137578021962
8450 -39.77841296603041
8500 -39.79520677304724
8550 -39.81177061109443
8600 -39.82811721710808
8650 -39.84425862974749
8700 -39.86020616836622
8750 -39.87597041859389
8800 -39.89156122696939
8850 -39.90698770707003
8900 -39.922258259363296
8950 -39.93738060654554
9000 -39.95236184542775
9050 -39.96720851551777
9100 -39.98192668340373
9150 -39.99652204096914
9200 -40.0110000144887
9250 -40.02536588089211
9300 -40.03962488704208
9350 -40.05378236781851
9400 -40.067843859141945
9450 -40.08181520276635
9500 -40.09570264063373
9550 -40.109512897698835
9600 -40.123253253278136
9650 -40.13693160204748
9700 -40.15055650672664
9750 -40.16413724520425
9800 -40.17768385536259
9850 -40.191207181179976
9900 -40.20471892385871
9950 -40.218231701797954
10000 -40.23175912325587
10050 -40.24531587556957
10100 -40.25891783486415
10150 -40.272582200311874
10200 -40.286327657222316
10250 -40.30017457356921
10300 -40.314145235007054
10350 -40.32826412401842
10400 -40.34255824959107
10450 -40.35705753479297
10500 -40.37179527084562
10550 -40.38680864783363
10600 -40.402139374010716
10650 -40.417834397541434
10700 -40.43394674572674
10750 -40.4505364954756
10800 -40.467671881002744
10850 -40.48543052245752
10900 -40.50390070773034
10950 -40.523182554452355
11000 -40.543388683839964
11050 -40.564643709117945
11100 -40.58708135079262
11150 -40.610837384587406
11200 -40.63603613292915
11250 -40.66276837026403
11300 -40.691060203142236
11350 -40.72083651834744
11400 -40.75188859988292
11450 -40.78386055438341
11500 -40.816267987591345
11550 -40.84855152368239
11600 -40.88015152976235
11650 -40.91057997655262
11700 -40.93946850195117
